fixture_id,home_corners,away_corners,Russia_Shots on Goal,Russia_Shots off Goal,Russia_Total Shots,Russia_Blocked Shots,Russia_Shots insidebox,Russia_Shots outsidebox,Russia_Fouls,Russia_Corner Kicks,Russia_Offsides,Russia_Ball Possession,Russia_Yellow Cards,Russia_Red Cards,Russia_Goalkeeper Saves,Russia_Total passes,Russia_Passes accurate,Russia_Passes %,New Zealand_Shots on Goal,New Zealand_Shots off Goal,New Zealand_Total Shots,New Zealand_Blocked Shots,New Zealand_Shots insidebox,New Zealand_Shots outsidebox,New Zealand_Fouls,New Zealand_Corner Kicks,New Zealand_Offsides,New Zealand_Ball Possession,New Zealand_Yellow Cards,New Zealand_Red Cards,New Zealand_Goalkeeper Saves,New Zealand_Total passes,New Zealand_Passes accurate,New Zealand_Passes %,home_avg_goals,home_avg_corners,home_avg_xg,home_win_rate,home_draw_rate,home_loss_rate,away_avg_goals,away_avg_corners,away_avg_xg,away_win_rate,away_draw_rate,away_loss_rate,h2h_wins,h2h_draws,h2h_losses,h2h_avg_home_corners,h2h_avg_away_corners,h2h_avg_home_xg,h2h_avg_away_xg,home_missing_impact,away_missing_impact,home_team,away_team,Portugal_Shots on Goal,Portugal_Shots off Goal,Portugal_Total Shots,Portugal_Blocked Shots,Portugal_Shots insidebox,Portugal_Shots outsidebox,Portugal_Fouls,Portugal_Corner Kicks,Portugal_Offsides,Portugal_Ball Possession,Portugal_Yellow Cards,Portugal_Red Cards,Portugal_Goalkeeper Saves,Portugal_Total passes,Portugal_Passes accurate,Portugal_Passes %,Mexico_Shots on Goal,Mexico_Shots off Goal,Mexico_Total Shots,Mexico_Blocked Shots,Mexico_Shots insidebox,Mexico_Shots outsidebox,Mexico_Fouls,Mexico_Corner Kicks,Mexico_Offsides,Mexico_Ball Possession,Mexico_Yellow Cards,Mexico_Red Cards,Mexico_Goalkeeper Saves,Mexico_Total passes,Mexico_Passes accurate,Mexico_Passes %,Cameroon_Shots on Goal,Cameroon_Shots off Goal,Cameroon_Total Shots,Cameroon_Blocked Shots,Cameroon_Shots insidebox,Cameroon_Shots outsidebox,Cameroon_Fouls,Cameroon_Corner Kicks,Cameroon_Offsides,Cameroon_Ball Possession,Cameroon_Yellow Cards,Cameroon_Red Cards,Cameroon_Goalkeeper Saves,Cameroon_Total passes,Cameroon_Passes accurate,Cameroon_Passes %,Chile_Shots on Goal,Chile_Shots off Goal,Chile_Total Shots,Chile_Blocked Shots,Chile_Shots insidebox,Chile_Shots outsidebox,Chile_Fouls,Chile_Corner Kicks,Chile_Offsides,Chile_Ball Possession,Chile_Yellow Cards,Chile_Red Cards,Chile_Goalkeeper Saves,Chile_Total passes,Chile_Passes accurate,Chile_Passes %,Australia_Shots on Goal,Australia_Shots off Goal,Australia_Total Shots,Australia_Blocked Shots,Australia_Shots insidebox,Australia_Shots outsidebox,Australia_Fouls,Australia_Corner Kicks,Australia_Offsides,Australia_Ball Possession,Australia_Yellow Cards,Australia_Red Cards,Australia_Goalkeeper Saves,Australia_Total passes,Australia_Passes accurate,Australia_Passes %,Germany_Shots on Goal,Germany_Shots off Goal,Germany_Total Shots,Germany_Blocked Shots,Germany_Shots insidebox,Germany_Shots outsidebox,Germany_Fouls,Germany_Corner Kicks,Germany_Offsides,Germany_Ball Possession,Germany_Yellow Cards,Germany_Red Cards,Germany_Goalkeeper Saves,Germany_Total passes,Germany_Passes accurate,Germany_Passes %
255334,12,2,8.0,6.0,14.0,,,,13.0,12.0,6.0,59%,,0.0,2.0,,,,2.0,3.0,5.0,,,,12.0,2.0,0.0,41%,,0.0,7.0,,,,1.8,0.0,0.0,0.2,0.4,0.4,0.4,1.6,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,Russia,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255335,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.2,0.0,0.6,0.4,0.0,1.4,0.0,0.0,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,Portugal,Mexico,5.0,4.0,9.0,,,,14.0,2.0,3.0,45%,2.0,0.0,1.0,,,,3.0,5.0,8.0,,,,13.0,3.0,1.0,55%,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255336,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3.2,0.0,0.0,0.2,0.8,1.2,3.8,0.0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,Cameroon,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,6.0,,,,9.0,5.0,1.0,55%,0.0,0.0,3.0,,,,5.0,7.0,12.0,,,,7.0,5.0,4.0,45%,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255337,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.5,0.5,2.0,2.8,0.0,0.6,0.4,0.0,0,0,0,0,0,0,0,0,0,Australia,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,,,,11.0,1.0,1.0,40%,1.0,0.0,2.0,,,,5.0,9.0,14.0,,,,7.0,4.0,3.0,60%,1.0,0.0,2.0,,,
255338,3,2,0.0,3.0,3.0,,,,13.0,3.0,2.0,51%,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,1.8,0.0,0.0,0.2,0.4,0.4,2.2,3.2,0.0,0.6,0.4,0.0,0,0,0,0,0,0,0,0,0,Russia,Portugal,6.0,3.0,9.0,,,,11.0,2.0,0.0,49%,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255339,7,5,,,,,,,,,,,,,,,,,3.0,4.0,7.0,,,,18.0,5.0,3.0,35%,2.0,0.0,8.0,,,,1.4,0.0,0.0,0.6,0.2,0.2,0.4,1.6,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,Mexico,New Zealand,,,,,,,,,,,,,,,,,10.0,6.0,16.0,,,,17.0,7.0,0.0,65%,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255340,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3.2,0.0,0.0,0.2,0.8,1.0,2.0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,Cameroon,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,11.0,,,,14.0,8.0,3.0,47%,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,4.0,7.0,,,,10.0,2.0,1.0,53%,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,
255341,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.8,0.0,0.6,0.4,0.0,1.2,3.8,0.0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,Germany,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,10.0,,,,19.0,4.0,2.0,52%,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,7.0,,,,14.0,1.0,1.0,48%,2.0,0.0,3.0,,,
255343,1,12,,,,,,,,,,,,,,,,,4.0,3.0,7.0,,,,14.0,1.0,1.0,40%,2.0,0.0,6.0,,,,0.4,1.6,0.0,0.0,0.0,1.0,2.2,3.2,0.0,0.6,0.4,0.0,0,0,0,0,0,0,0,0,0,New Zealand,Portugal,10.0,3.0,13.0,,,,7.0,12.0,0.0,60%,2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255344,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.8,0.0,0.6,0.4,0.0,0.6,3.2,0.0,0.0,0.2,0.8,0,0,0,0,0,0,0,0,0,Germany,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,6.0,,,,8.0,3.0,2.0,40%,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,18.0,,,,10.0,6.0,4.0,60%,1.0,0.0,1.0,,,
255345,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,3.8,0.0,0.2,0.4,0.4,1.0,2.0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,Chile,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,11.0,,,,12.0,1.0,4.0,55%,2.0,0.0,1.0,,,,2.0,6.0,8.0,,,,13.0,5.0,2.0,45%,4.0,0.0,6.0,,,,,,,,,,,,,,,,,,,
255331,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.8,0.0,0.6,0.4,0.0,1.4,0.0,0.0,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,Germany,Mexico,,,,,,,,,,,,,,,,,10.0,8.0,18.0,,,,8.0,11.0,2.0,59%,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,10.0,,,,17.0,4.0,0.0,41%,1.0,0.0,9.0,,,
255333,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,3.8,0.0,0.2,0.4,0.4,2.0,2.8,0.0,0.6,0.4,0.0,0,0,0,0,0,0,0,0,0,Chile,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,13.0,,,,12.0,9.0,3.0,62%,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,,,,20.0,4.0,2.0,38%,3.0,0.0,8.0,,,
